Hello,Hello to you.
hai,There are some things I just don't known about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hai'>hai</a>
Who are You?,I am MBC chat. How can I help you
Hello,Hello to you.
Hostel facilities in the college,"There are two seperate hostels for boys and girls.Boys Have two hostels MH1 and MH2,girls also have two hostels LH1 and LH2."
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
under which university the college is,Kerala Technological University(KTU)
under which university the college,Kerala Technological University(KTU)
what is the time is,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=what is the time is'>what is the time is</a>
What time is it,getTime
Thank for your valuable information,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Thank for your valuable information'>Thank for your valuable information</a>
Hello,Hello to you.
hai,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hai'>hai</a>
hello,Hello to you.
Who are you,I am MBC chat. How can I help you
Hostels facilites of the college,"There are two seperate hostels for boys and girls.Boys Have two hostels MH1 and MH2,girls also have two hostels LH1 and LH2."
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
under which university the college belongs to,Kerala Technological University(KTU)
Doccuments required,"Tenth andTwelth Mark Sheet(Original),KEAM Mark Sheet,Contact Certificate from School,Copy of Birth Certificate,Adhar Card(Copy)."
Hello,How can I help you
hello,How can I help you
who are you,I am MBC Powered Chat Bot
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
hostel facilities,"There are two seperate hostels for boys and girls.Boys Have two hostels MH1 and MH2,girls also have two hostels LH1 and LH2."
Doccuments required,"Tenth andTwelth Mark Sheet(Original),KEAM Mark Sheet,Contact Certificate from School,Copy of Birth Certificate,Adhar Card(Copy)."
Hello,How can I help you
hai,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hai'>hai</a>
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
Hello,Hello to you
What time is it?,The time is now 2:10 AM EST
What is the date?,I dont have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What is the date?'>What is the date?</a>
Hello,Hello to you
hai,It's nice to see you!!
hello,Hello to you
who are you,I am MBC Powered Chat Bot
What time is it,The time is now 1:16 PM EST
What is the date,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What is the date'>What is the date</a>
Hello,Hello to you
hai,"<img src=""https://storage.googleapis.com/ezap-prod/colleges/2100/mar-baselios-christian-college-of-engineering-and-technology-kuttikanam-peermade-logo.jpg"">"
Hello,Hello to you
who are you,"I am MBC Powered Chat Bot <img src=""https://storage.googleapis.com/ezap-prod/colleges/2100/mar-baselios-christian-college-of-engineering-and-technology-kuttikanam-peermade-logo.jpg"">"
Hello,Hello to you
hai,Welcome
hai,Welcome
Goog morning!,Good Morning To you!!
What time is it,The time is now 2:00 PM EST
Thank for your valuable information,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
hai,Welcome
location of the college,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=location of the college'>location of the college</a>
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
d,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=d'>d</a>
Hello,Hello to you
red,I don't really known what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=red'>red</a>
Hello,Hello to you
hai,Welcome
Hello,Hello to you
hai,Welcome
Hello,Hello to you
hai,Welcome
Hello,Hello to you
hai,Welcome
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
mbc college kuttikkanam,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=mbc college kuttikkanam'>mbc college kuttikkanam</a>
Hello,Hello to you
Hello,Hello to you
hai,Welcome
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
Hello,Hello to you
hai,hello
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
Hello,Hello to you
Hello,Welcome To MBC CHAT BOT
hallo,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hallo'>hallo</a>
hello,Welcome To MBC CHAT BOT
who are you,"I am MBC Powered Chat Bot <img src=""https://storage.googleapis.com/ezap-prod/colleges/2100/mar-baselios-christian-college-of-engineering-and-technology-kuttikanam-peermade-logo.jpg"">"
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
which university the college ,Kerala Technological University(KTU)
Hello,Welcome To MBC CHAT BOT
Hello,Welcome To MBC CHAT BOT
hai,hello
fees structure,Admission Fees-Rs500
Hello,Welcome To MBC CHAT BOT
hai,Welcome
fees structure,"Admission Fees-Rs500,Tution Fees-Rs75000,Exam Fees-Rs3400,Other Fees-Rs11000(For First year) Rs5000(For Rest of the Years)."
Hello,Welcome To MBC CHAT BOT
hai,hello
fees structure,"***************************************************************Admission Fees-Rs500************************************************************************************************************** ***************************************************************Tution Fees-Rs75000(Management Quota)**********************************************************************************************         ***************************************************************Exam Fees-Rs3400*****************************************************************************************************************             ***************************************************************Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years)**************************************************************************"
Hello,Welcome To MBC CHAT BOT
fees structure,"***************************************************************Admission Fees-Rs500************************************************************************************************************** ***************************************************************Tution Fees-Rs75000(Management Quota) ***************************************************************Exam Fees-Rs3400*************             *******************************Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years)***************************************************************"
Hello,Welcome To MBC CHAT BOT
