Human Says,Chat bot says
What time is it?,getTIME
What time  do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
Do you known what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I dont known.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I dont have a response for that.
IDKnull,I will have to give that some thoughts
IDKnull,I don't really known what you are asking.
IDKnull,There are some things I just don't known about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,"I am MBC Powered Chat Bot <img src=""https://storage.googleapis.com/ezap-prod/colleges/2100/mar-baselios-christian-college-of-engineering-and-technology-kuttikanam-peermade-logo.jpg"">"
Hello,Hi! Nice to se you.Welcome To MBC CHAT BOT.How Can I Help you?
Hostel facilities in the college,"The College provides residential facilities for boys, girls and the staff members. The College has two separate hostels for boys with a total intake capacity of 850 students and two hostels for girls with 600 total intake capacity. Ergonomically designed rooms provide a feeling of home away from home. MBC has been applauded as the only residential Engineering College in Kerala.                                                                                                                                 Men's Hostel                                                                                                                                                                                                                                                                                                                                                           MBC offers two residential hostels, on a sharing basis, for men, with a total intake capacity of 850 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Hostels in the campus provide the best atmosphere for the academic and personal development of every student. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.MH I hostel offers well-furnished 69 rooms for men, along with a Prayer hall, TV hall, reading room and a large mess hall.Established in 2005, MH II has 90 spacious rooms for men along with a Prayer hall, recreational room, and an adjacent large mess hall.                                                                                                                                                                                                                                                                                                                                               Ladie's Hostel                                                                                                                                                                                                                                                                                                                MBC offers two residential hostels, on a sharing basis, for women, with a total intake capacity of 600 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Mutual cooperation, sympathy, and love provide the best atmosphere for the academic and personal development of every student and are the characteristics of Ladies’ hostel. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.LH I hostel offers well-furnished 69 rooms for women, along with a Prayer Hall, TV Hall, Reading Room and a large Mess Hall.Established in 2005, LH II has 90 spacious rooms for women along with a Prayer hall, Recreational Room, and an adjacent large Mess Hall.

"
yes,"Thank you for your interest to join to our college.To join Please fill the google form <a href=""https://docs.google.com/forms/d/e/1FAIpQLSf3maXO4kXjAXrTYZspGI82bIgOOgE2EGxSjIAGOS4kGbWwsw/viewform"">MBC Registration Form</a>"
Under which university the college is,"Kerala Technological University(KTU).<img src=""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJZ03-x5yWcCboU1-KYA78eVAO2GmnAbwZAcf41lDto2C386NYRmB8_eGlZCyvX_bZmiU&usqp=CAU.jpg"">"
Doccuments Required,"Tenth andTwelth Mark Sheet(Original),KEAM Mark Sheet,Contact Certificate from School,Copy of Birth Certificate,Adhar Card(Copy)."
Hai,Hello! How can I help you
Good Afternoon!,Good Afternoon to you!!
Good Morning!,Good Morning To you!!
Thank you for your information,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
hai,Hello! How can I help you
what is the time is,getTIME
What time is it,getTIME
hai,hello
what is the time is,getTime
hai,Hello! How can I help you
Admission Details,"Fees Structure: ***Admission Fees-Rs500***Tution Fees-Rs75000(Management Quota ,Per Year)***Exam Fees-Rs3400***Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years)***Tution Fees-Rs50,000(Government Quota)***.The college is offering various scholarships for the B.Tech courses based on the Scholarship Examination. Scholarship Exam registration for 2022 has Started Please click the link for register:<a href=""http://mbccet.in/2022/"">Registration</a>"
